"indicador","departamento","municipio","amplificador","numerador","denominador","anno","sexomn","sexomd","sexofn","sexofd","sexoin","sexoid","cabemun","centropoblado","Rural Disperso","Sin Informacion","Poblacion DANE cabemun","Poblacion DANE  Centros Poblados y Rural Disperso"
"Mortalidad por Accidentes de Tránsito General","Caldas","Manizales","100,000","54","388,490","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Aguadas","100,000","4","23,165","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Anserma","100,000","3","34,444","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Aranzazu","100,000","1","12,111","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Belalcazar","100,000","1","11,367","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Chinchina","100,000","9","52,488","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Filadelfia","100,000","0","11,872","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","La Dorada","100,000","10","75,011","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","La Merced","100,000","1","6,107","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Manzanares","100,000","2","24,167","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Marmato","100,000","2","8,782","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Marquetalia","100,000","1","14,921","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Marulanda","100,000","0","3,443","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Neira","100,000","5","29,359","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Norcasia","100,000","0","6,640","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
"Mortalidad por Accidentes de Tránsito General","Caldas","Pacora","100,000","0","13,472","2,010","0","0","0","0","0","0","0","0","0","0","0","0"
